"","Disease","Date","State","Cases","Rates"
"86","Salmonellosis",2020-05-31,"ACT",10,2.3
"87","Shigellosis",2020-05-31,"ACT",1,0.2
"88","Tuberculosis",2020-05-31,"ACT",1,0.2
"89","Chlamydial infection",2020-05-31,"ACT",105,24.6
"90","Gonococcal infection",2020-05-31,"ACT",20,4.7
"91","Syphilis < 2 years",2020-05-31,"ACT",6,1.4
"92","Syphilis > 2 years or unspecified duration",2020-05-31,"ACT",1,0.2
"93","Influenza (laboratory confirmed)",2020-05-31,"ACT",1,0.2
"94","Pertussis",2020-05-31,"ACT",3,0.7
"95","Rotavirus",2020-05-31,"ACT",11,2.6
"96","Varicella zoster (chickenpox)",2020-05-31,"ACT",2,0.5
"97","Varicella zoster (shingles)",2020-05-31,"ACT",34,8
"98","Varicella zoster (unspecified)",2020-05-31,"ACT",6,1.4
"99","Hepatitis B (unspecified)",2020-04-30,"ACT",8,1.9
"100","Hepatitis C (unspecified)",2020-04-30,"ACT",10,2.3
"101","Campylobacteriosis",2020-04-30,"ACT",35,8.2
"102","Salmonellosis",2020-04-30,"ACT",7,1.6
"103","Meningococcal disease (invasive)",2020-04-30,"ACT",1,0.2
"104","Tuberculosis",2020-04-30,"ACT",4,0.9
"105","Chlamydial infection",2020-04-30,"ACT",87,20.4
"106","Gonococcal infection",2020-04-30,"ACT",10,2.3
"107","Syphilis < 2 years",2020-04-30,"ACT",6,1.4
"108","Syphilis > 2 years or unspecified duration",2020-04-30,"ACT",1,0.2
"109","Influenza (laboratory confirmed)",2020-04-30,"ACT",4,0.9
"110","Pertussis",2020-04-30,"ACT",7,1.6
"111","Pneumococcal disease (invasive)",2020-04-30,"ACT",2,0.5
"112","Rotavirus",2020-04-30,"ACT",5,1.2
"113","Varicella zoster (chickenpox)",2020-04-30,"ACT",1,0.2
"114","Varicella zoster (shingles)",2020-04-30,"ACT",34,8
"115","Varicella zoster (unspecified)",2020-04-30,"ACT",13,3.1
"116","Ross River virus infection",2020-04-30,"ACT",1,0.2
"117","Hepatitis B (unspecified)",2020-03-31,"ACT",9,2.1
"118","Hepatitis C (newly acquired)",2020-03-31,"ACT",1,0.2
"119","Hepatitis C (unspecified)",2020-03-31,"ACT",14,3.3
"120","Campylobacteriosis",2020-03-31,"ACT",58,13.6
"121","Cryptosporidiosis",2020-03-31,"ACT",4,0.9
"122","Salmonellosis",2020-03-31,"ACT",13,3.1
"123","Shigellosis",2020-03-31,"ACT",3,0.7
"124","Tuberculosis",2020-03-31,"ACT",2,0.5
"125","Chlamydial infection",2020-03-31,"ACT",155,36.4
"126","Gonococcal infection",2020-03-31,"ACT",33,7.7
"127","Syphilis < 2 years",2020-03-31,"ACT",8,1.9
"128","Syphilis > 2 years or unspecified duration",2020-03-31,"ACT",1,0.2
"129","Influenza (laboratory confirmed)",2020-03-31,"ACT",34,8
"130","Mumps",2020-03-31,"ACT",1,0.2
"131","Pertussis",2020-03-31,"ACT",5,1.2
"132","Pneumococcal disease (invasive)",2020-03-31,"ACT",2,0.5
"133","Rotavirus",2020-03-31,"ACT",4,0.9
"134","Varicella zoster (chickenpox)",2020-03-31,"ACT",17,4
"135","Varicella zoster (shingles)",2020-03-31,"ACT",37,8.7
"136","Varicella zoster (unspecified)",2020-03-31,"ACT",12,2.8
"137","Hepatitis B (unspecified)",2020-02-29,"ACT",3,0.7
"138","Hepatitis C (newly acquired)",2020-02-29,"ACT",2,0.5
"139","Hepatitis C (unspecified)",2020-02-29,"ACT",8,1.9
"140","Hepatitis D",2020-02-29,"ACT",1,0.2
"141","Campylobacteriosis",2020-02-29,"ACT",49,11.5
"142","Cryptosporidiosis",2020-02-29,"ACT",2,0.5
"143","Salmonellosis",2020-02-29,"ACT",27,6.3
"144","Shigellosis",2020-02-29,"ACT",5,1.2
"145","Typhoid Fever",2020-02-29,"ACT",1,0.2
"146","Tuberculosis",2020-02-29,"ACT",4,0.9
"147","Chlamydial infection",2020-02-29,"ACT",137,32.1
"148","Gonococcal infection",2020-02-29,"ACT",30,7
"149","Syphilis < 2 years",2020-02-29,"ACT",3,0.7
"150","Influenza (laboratory confirmed)",2020-02-29,"ACT",54,12.7
"151","Mumps",2020-02-29,"ACT",11,2.6
"152","Pertussis",2020-02-29,"ACT",17,4
"153","Pneumococcal disease (invasive)",2020-02-29,"ACT",1,0.2
"154","Rotavirus",2020-02-29,"ACT",11,2.6
"155","Varicella zoster (chickenpox)",2020-02-29,"ACT",17,4
"156","Varicella zoster (shingles)",2020-02-29,"ACT",44,10.3
"157","Varicella zoster (unspecified)",2020-02-29,"ACT",10,2.3
"158","Dengue virus infection",2020-02-29,"ACT",2,0.5
"159","Hepatitis B (unspecified)",2020-01-31,"ACT",7,1.6
"160","Hepatitis C (newly acquired)",2020-01-31,"ACT",1,0.2
"161","Hepatitis C (unspecified)",2020-01-31,"ACT",8,1.9
"162","Campylobacteriosis",2020-01-31,"ACT",68,16
"163","Cryptosporidiosis",2020-01-31,"ACT",6,1.4
"164","Paratyphoid",2020-01-31,"ACT",1,0.2
"165","Salmonellosis",2020-01-31,"ACT",16,3.8
"166","Shigellosis",2020-01-31,"ACT",4,0.9
"167","Typhoid Fever",2020-01-31,"ACT",1,0.2
"168","Tuberculosis",2020-01-31,"ACT",4,0.9
"169","Chlamydial infection",2020-01-31,"ACT",158,37.1
"170","Gonococcal infection",2020-01-31,"ACT",51,12
"171","Syphilis < 2 years",2020-01-31,"ACT",5,1.2
"172","Syphilis > 2 years or unspecified duration",2020-01-31,"ACT",2,0.5
"173","Influenza (laboratory confirmed)",2020-01-31,"ACT",93,21.8
"174","Mumps",2020-01-31,"ACT",1,0.2
"175","Pertussis",2020-01-31,"ACT",14,3.3
"176","Pneumococcal disease (invasive)",2020-01-31,"ACT",2,0.5
"177","Rotavirus",2020-01-31,"ACT",3,0.7
"178","Varicella zoster (chickenpox)",2020-01-31,"ACT",25,5.9
"179","Varicella zoster (shingles)",2020-01-31,"ACT",41,9.6
"180","Varicella zoster (unspecified)",2020-01-31,"ACT",11,2.6
"181","Chikungunya virus infection",2020-01-31,"ACT",3,0.7
"182","Malaria",2020-01-31,"ACT",1,0.2
"183","Hepatitis B (unspecified)",2019-12-31,"ACT",6,1.4
"184","Hepatitis C (newly acquired)",2019-12-31,"ACT",1,0.2
"185","Hepatitis C (unspecified)",2019-12-31,"ACT",5,1.2
"186","Campylobacteriosis",2019-12-31,"ACT",51,12
"187","STEC",2019-12-31,"ACT",1,0.2
"188","Salmonellosis",2019-12-31,"ACT",18,4.2
"189","Shigellosis",2019-12-31,"ACT",6,1.4
"190","Typhoid Fever",2019-12-31,"ACT",1,0.2
"191","Tuberculosis",2019-12-31,"ACT",2,0.5
"192","Chlamydial infection",2019-12-31,"ACT",110,25.8
"193","Gonococcal infection",2019-12-31,"ACT",28,6.6
"194","Syphilis < 2 years",2019-12-31,"ACT",5,1.2
"195","Syphilis > 2 years or unspecified duration",2019-12-31,"ACT",1,0.2
"196","Influenza (laboratory confirmed)",2019-12-31,"ACT",76,17.8
"197","Pertussis",2019-12-31,"ACT",15,3.5
"198","Rotavirus",2019-12-31,"ACT",4,0.9
"199","Varicella zoster (chickenpox)",2019-12-31,"ACT",31,7.3
"200","Varicella zoster (shingles)",2019-12-31,"ACT",33,7.7
"201","Varicella zoster (unspecified)",2019-12-31,"ACT",11,2.6
"202","Dengue virus infection",2019-12-31,"ACT",3,0.7
"203","Hepatitis B (unspecified)",2019-11-30,"ACT",9,2.1
"204","Hepatitis C (unspecified)",2019-11-30,"ACT",8,1.9
"205","Campylobacteriosis",2019-11-30,"ACT",70,16.4
"206","Salmonellosis",2019-11-30,"ACT",16,3.8
"207","Shigellosis",2019-11-30,"ACT",5,1.2
"208","Tuberculosis",2019-11-30,"ACT",2,0.5
"209","Chlamydial infection",2019-11-30,"ACT",107,25.1
"210","Gonococcal infection",2019-11-30,"ACT",21,4.9
"211","Syphilis < 2 years",2019-11-30,"ACT",9,2.1
"212","Syphilis > 2 years or unspecified duration",2019-11-30,"ACT",3,0.7
"213","Influenza (laboratory confirmed)",2019-11-30,"ACT",25,5.9
"214","Pertussis",2019-11-30,"ACT",13,3.1
"215","Pneumococcal disease (invasive)",2019-11-30,"ACT",3,0.7
"216","Rotavirus",2019-11-30,"ACT",5,1.2
"217","Varicella zoster (chickenpox)",2019-11-30,"ACT",48,11.3
"218","Varicella zoster (shingles)",2019-11-30,"ACT",35,8.2
"219","Varicella zoster (unspecified)",2019-11-30,"ACT",18,4.2
"220","Dengue virus infection",2019-11-30,"ACT",6,1.4
"221","Ross River virus infection",2019-11-30,"ACT",2,0.5
"222","Hepatitis B (unspecified)",2019-10-31,"ACT",11,2.6
"223","Hepatitis C (newly acquired)",2019-10-31,"ACT",2,0.5
"224","Hepatitis C (unspecified)",2019-10-31,"ACT",17,4
"225","Hepatitis D",2019-10-31,"ACT",1,0.2
"226","Campylobacteriosis",2019-10-31,"ACT",82,19.2
"227","Cryptosporidiosis",2019-10-31,"ACT",1,0.2
"228","Salmonellosis",2019-10-31,"ACT",18,4.2
"229","Shigellosis",2019-10-31,"ACT",5,1.2
"230","Tuberculosis",2019-10-31,"ACT",3,0.7
"231","Chlamydial infection",2019-10-31,"ACT",146,34.3
"232","Gonococcal infection",2019-10-31,"ACT",22,5.2
"233","Syphilis < 2 years",2019-10-31,"ACT",5,1.2
"234","Syphilis > 2 years or unspecified duration",2019-10-31,"ACT",1,0.2
"235","Influenza (laboratory confirmed)",2019-10-31,"ACT",92,21.6
"236","Pertussis",2019-10-31,"ACT",19,4.5
"237","Pneumococcal disease (invasive)",2019-10-31,"ACT",4,0.9
"238","Rotavirus",2019-10-31,"ACT",6,1.4
"239","Varicella zoster (chickenpox)",2019-10-31,"ACT",27,6.3
"240","Varicella zoster (shingles)",2019-10-31,"ACT",43,10.1
"241","Varicella zoster (unspecified)",2019-10-31,"ACT",12,2.8
"242","Dengue virus infection",2019-10-31,"ACT",4,0.9
"243","Malaria",2019-10-31,"ACT",1,0.2
"244","Ross River virus infection",2019-10-31,"ACT",1,0.2
"245","Hepatitis B (unspecified)",2019-09-30,"ACT",6,1.4
"246","Hepatitis C (newly acquired)",2019-09-30,"ACT",1,0.2
"247","Hepatitis C (unspecified)",2019-09-30,"ACT",7,1.6
"248","Campylobacteriosis",2019-09-30,"ACT",54,12.7
"249","Cryptosporidiosis",2019-09-30,"ACT",2,0.5
"250","Salmonellosis",2019-09-30,"ACT",20,4.7
"251","Shigellosis",2019-09-30,"ACT",3,0.7
"252","Legionellosis",2019-09-30,"ACT",1,0.2
"253","Tuberculosis",2019-09-30,"ACT",1,0.2
"254","Chlamydial infection",2019-09-30,"ACT",128,30
"255","Gonococcal infection",2019-09-30,"ACT",24,5.6
"256","Syphilis < 2 years",2019-09-30,"ACT",4,0.9
"257","Syphilis > 2 years or unspecified duration",2019-09-30,"ACT",3,0.7
"258","Influenza (laboratory confirmed)",2019-09-30,"ACT",460,107.9
"259","Pertussis",2019-09-30,"ACT",21,4.9
"260","Pneumococcal disease (invasive)",2019-09-30,"ACT",7,1.6
"261","Rotavirus",2019-09-30,"ACT",7,1.6
"262","Varicella zoster (chickenpox)",2019-09-30,"ACT",40,9.4
"263","Varicella zoster (shingles)",2019-09-30,"ACT",38,8.9
"264","Varicella zoster (unspecified)",2019-09-30,"ACT",19,4.5
"265","Dengue virus infection",2019-09-30,"ACT",1,0.2
"266","Malaria",2019-09-30,"ACT",1,0.2
"267","Q fever",2019-09-30,"ACT",1,0.2
"268","Hepatitis B (unspecified)",2019-08-31,"ACT",10,2.3
"269","Hepatitis C (unspecified)",2019-08-31,"ACT",4,0.9
"270","Campylobacteriosis",2019-08-31,"ACT",35,8.2
"271","Cryptosporidiosis",2019-08-31,"ACT",1,0.2
"272","Hepatitis A",2019-08-31,"ACT",1,0.2
"273","Salmonellosis",2019-08-31,"ACT",8,1.9
"274","Shigellosis",2019-08-31,"ACT",3,0.7
"275","Typhoid Fever",2019-08-31,"ACT",2,0.5
"276","Chlamydial infection",2019-08-31,"ACT",137,32.1
"277","Gonococcal infection",2019-08-31,"ACT",23,5.4
"278","Syphilis < 2 years",2019-08-31,"ACT",9,2.1
"279","Syphilis > 2 years or unspecified duration",2019-08-31,"ACT",1,0.2
"280","Influenza (laboratory confirmed)",2019-08-31,"ACT",1016,238.4
"281","Pertussis",2019-08-31,"ACT",36,8.4
"282","Pneumococcal disease (invasive)",2019-08-31,"ACT",2,0.5
"283","Rotavirus",2019-08-31,"ACT",6,1.4
"284","Varicella zoster (chickenpox)",2019-08-31,"ACT",26,6.1
"285","Varicella zoster (shingles)",2019-08-31,"ACT",39,9.2
"286","Varicella zoster (unspecified)",2019-08-31,"ACT",12,2.8
"287","Dengue virus infection",2019-08-31,"ACT",3,0.7
"288","Malaria",2019-08-31,"ACT",2,0.5
"289","Hepatitis B (unspecified)",2019-07-31,"ACT",9,2.1
"290","Hepatitis C (newly acquired)",2019-07-31,"ACT",1,0.2
"291","Hepatitis C (unspecified)",2019-07-31,"ACT",15,3.5
"292","Campylobacteriosis",2019-07-31,"ACT",53,12.4
"293","Salmonellosis",2019-07-31,"ACT",9,2.1
"294","Shigellosis",2019-07-31,"ACT",2,0.5
"295","Typhoid Fever",2019-07-31,"ACT",1,0.2
"296","Tuberculosis",2019-07-31,"ACT",1,0.2
"297","Chlamydial infection",2019-07-31,"ACT",134,31.4
"298","Gonococcal infection",2019-07-31,"ACT",21,4.9
"299","Syphilis < 2 years",2019-07-31,"ACT",8,1.9
"300","Syphilis > 2 years or unspecified duration",2019-07-31,"ACT",3,0.7
"301","Influenza (laboratory confirmed)",2019-07-31,"ACT",1045,245.2
"302","Measles",2019-07-31,"ACT",1,0.2
"303","Pertussis",2019-07-31,"ACT",38,8.9
"304","Pneumococcal disease (invasive)",2019-07-31,"ACT",5,1.2
"305","Rotavirus",2019-07-31,"ACT",5,1.2
"306","Varicella zoster (chickenpox)",2019-07-31,"ACT",25,5.9
"307","Varicella zoster (shingles)",2019-07-31,"ACT",29,6.8
"308","Varicella zoster (unspecified)",2019-07-31,"ACT",14,3.3
"309","Dengue virus infection",2019-07-31,"ACT",3,0.7
"310","Malaria",2019-07-31,"ACT",2,0.5
"311","Hepatitis B (unspecified)",2019-06-30,"ACT",8,1.9
"312","Hepatitis C (unspecified)",2019-06-30,"ACT",9,2.1
"313","Campylobacteriosis",2019-06-30,"ACT",37,8.7
"314","Cryptosporidiosis",2019-06-30,"ACT",1,0.2
"315","Salmonellosis",2019-06-30,"ACT",5,1.2
"316","Typhoid Fever",2019-06-30,"ACT",1,0.2
"317","Chlamydial infection",2019-06-30,"ACT",144,33.8
"318","Gonococcal infection",2019-06-30,"ACT",30,7
"319","Syphilis < 2 years",2019-06-30,"ACT",4,0.9
"320","Syphilis > 2 years or unspecified duration",2019-06-30,"ACT",2,0.5
"321","Influenza (laboratory confirmed)",2019-06-30,"ACT",761,178.6
"322","Pertussis",2019-06-30,"ACT",18,4.2
"323","Pneumococcal disease (invasive)",2019-06-30,"ACT",4,0.9
"324","Rotavirus",2019-06-30,"ACT",1,0.2
"325","Varicella zoster (chickenpox)",2019-06-30,"ACT",17,4
"326","Varicella zoster (shingles)",2019-06-30,"ACT",34,8
"327","Varicella zoster (unspecified)",2019-06-30,"ACT",9,2.1
"328","Dengue virus infection",2019-06-30,"ACT",2,0.5
"329","Hepatitis B (unspecified)",2019-05-31,"ACT",5,1.2
"330","Hepatitis C (unspecified)",2019-05-31,"ACT",14,3.3
"331","Campylobacteriosis",2019-05-31,"ACT",56,13.1
"332","Hepatitis A",2019-05-31,"ACT",2,0.5
"333","Salmonellosis",2019-05-31,"ACT",11,2.6
"334","Shigellosis",2019-05-31,"ACT",1,0.2
"335","Tuberculosis",2019-05-31,"ACT",1,0.2
"336","Chlamydial infection",2019-05-31,"ACT",144,33.8
"337","Gonococcal infection",2019-05-31,"ACT",43,10.1
"338","Syphilis < 2 years",2019-05-31,"ACT",5,1.2
"339","Influenza (laboratory confirmed)",2019-05-31,"ACT",330,77.4
"340","Pertussis",2019-05-31,"ACT",15,3.5
"341","Pneumococcal disease (invasive)",2019-05-31,"ACT",4,0.9
"342","Rotavirus",2019-05-31,"ACT",4,0.9
"343","Varicella zoster (chickenpox)",2019-05-31,"ACT",13,3.1
"344","Varicella zoster (shingles)",2019-05-31,"ACT",46,10.8
"345","Varicella zoster (unspecified)",2019-05-31,"ACT",8,1.9
"346","Dengue virus infection",2019-05-31,"ACT",2,0.5
"347","Malaria",2019-05-31,"ACT",1,0.2
"348","Ross River virus infection",2019-05-31,"ACT",1,0.2
"349","Hepatitis B (unspecified)",2019-04-30,"ACT",4,0.9
"350","Hepatitis C (newly acquired)",2019-04-30,"ACT",1,0.2
"351","Hepatitis C (unspecified)",2019-04-30,"ACT",6,1.4
"352","Campylobacteriosis",2019-04-30,"ACT",30,7
"353","Cryptosporidiosis",2019-04-30,"ACT",2,0.5
"354","Listeriosis",2019-04-30,"ACT",2,0.5
"355","Salmonellosis",2019-04-30,"ACT",15,3.5
"356","Shigellosis",2019-04-30,"ACT",6,1.4
"357","Typhoid Fever",2019-04-30,"ACT",1,0.2
"358","Tuberculosis",2019-04-30,"ACT",2,0.5
"359","Chlamydial infection",2019-04-30,"ACT",144,33.8
"360","Gonococcal infection",2019-04-30,"ACT",32,7.5
"361","Syphilis < 2 years",2019-04-30,"ACT",4,0.9
"362","Syphilis > 2 years or unspecified duration",2019-04-30,"ACT",1,0.2
"363","Influenza (laboratory confirmed)",2019-04-30,"ACT",78,18.3
"364","Pertussis",2019-04-30,"ACT",11,2.6
"365","Pneumococcal disease (invasive)",2019-04-30,"ACT",4,0.9
"366","Rotavirus",2019-04-30,"ACT",12,2.8
"367","Varicella zoster (chickenpox)",2019-04-30,"ACT",19,4.5
"368","Varicella zoster (shingles)",2019-04-30,"ACT",47,11
"369","Varicella zoster (unspecified)",2019-04-30,"ACT",12,2.8
"370","Dengue virus infection",2019-04-30,"ACT",3,0.7
"371","Malaria",2019-04-30,"ACT",1,0.2
"372","Hepatitis B (unspecified)",2019-03-31,"ACT",7,1.6
"373","Hepatitis C (newly acquired)",2019-03-31,"ACT",3,0.7
"374","Hepatitis C (unspecified)",2019-03-31,"ACT",10,2.3
"375","Campylobacteriosis",2019-03-31,"ACT",41,9.6
"376","Cryptosporidiosis",2019-03-31,"ACT",1,0.2
"377","Hepatitis A",2019-03-31,"ACT",1,0.2
"378","Salmonellosis",2019-03-31,"ACT",16,3.8
"379","Shigellosis",2019-03-31,"ACT",1,0.2
"380","Tuberculosis",2019-03-31,"ACT",3,0.7
"381","Chlamydial infection",2019-03-31,"ACT",142,33.3
"382","Gonococcal infection",2019-03-31,"ACT",23,5.4
"383","Influenza (laboratory confirmed)",2019-03-31,"ACT",67,15.7
"384","Pertussis",2019-03-31,"ACT",22,5.2
"385","Pneumococcal disease (invasive)",2019-03-31,"ACT",1,0.2
"386","Rotavirus",2019-03-31,"ACT",16,3.8
"387","Varicella zoster (chickenpox)",2019-03-31,"ACT",19,4.5
"388","Varicella zoster (shingles)",2019-03-31,"ACT",35,8.2
"389","Varicella zoster (unspecified)",2019-03-31,"ACT",16,3.8
"390","Dengue virus infection",2019-03-31,"ACT",1,0.2
"391","Hepatitis B (unspecified)",2019-02-28,"ACT",8,1.9
"392","Hepatitis C (newly acquired)",2019-02-28,"ACT",1,0.2
"393","Hepatitis C (unspecified)",2019-02-28,"ACT",10,2.3
"394","Campylobacteriosis",2019-02-28,"ACT",55,12.9
"395","Cryptosporidiosis",2019-02-28,"ACT",5,1.2
"396","Salmonellosis",2019-02-28,"ACT",7,1.6
"397","Shigellosis",2019-02-28,"ACT",6,1.4
"398","Typhoid Fever",2019-02-28,"ACT",1,0.2
"399","Meningococcal disease (invasive)",2019-02-28,"ACT",1,0.2
"400","Chlamydial infection",2019-02-28,"ACT",157,36.8
"401","Gonococcal infection",2019-02-28,"ACT",23,5.4
"402","Syphilis < 2 years",2019-02-28,"ACT",6,1.4
"403","Syphilis > 2 years or unspecified duration",2019-02-28,"ACT",4,0.9
"404","Influenza (laboratory confirmed)",2019-02-28,"ACT",70,16.4
"405","Measles",2019-02-28,"ACT",1,0.2
"406","Pertussis",2019-02-28,"ACT",21,4.9
"407","Pneumococcal disease (invasive)",2019-02-28,"ACT",1,0.2
"408","Rotavirus",2019-02-28,"ACT",16,3.8
"409","Varicella zoster (chickenpox)",2019-02-28,"ACT",16,3.8
"410","Varicella zoster (shingles)",2019-02-28,"ACT",29,6.8
"411","Varicella zoster (unspecified)",2019-02-28,"ACT",9,2.1
"412","Dengue virus infection",2019-02-28,"ACT",2,0.5
"413","Malaria",2019-02-28,"ACT",1,0.2
"414","Hepatitis B (unspecified)",2019-01-31,"ACT",4,0.9
"415","Hepatitis C (newly acquired)",2019-01-31,"ACT",1,0.2
"416","Hepatitis C (unspecified)",2019-01-31,"ACT",10,2.3
"417","Campylobacteriosis",2019-01-31,"ACT",60,14.1
"418","Cryptosporidiosis",2019-01-31,"ACT",2,0.5
"419","Salmonellosis",2019-01-31,"ACT",19,4.5
"420","Shigellosis",2019-01-31,"ACT",6,1.4
"421","Typhoid Fever",2019-01-31,"ACT",2,0.5
"422","Tuberculosis",2019-01-31,"ACT",2,0.5
"423","Chlamydial infection",2019-01-31,"ACT",157,36.8
"424","Gonococcal infection",2019-01-31,"ACT",44,10.3
"425","Syphilis < 2 years",2019-01-31,"ACT",7,1.6
"426","Syphilis > 2 years or unspecified duration",2019-01-31,"ACT",2,0.5
"427","Influenza (laboratory confirmed)",2019-01-31,"ACT",52,12.2
"428","Pertussis",2019-01-31,"ACT",41,9.6
"429","Pneumococcal disease (invasive)",2019-01-31,"ACT",2,0.5
"430","Rotavirus",2019-01-31,"ACT",3,0.7
"431","Varicella zoster (chickenpox)",2019-01-31,"ACT",27,6.3
"432","Varicella zoster (shingles)",2019-01-31,"ACT",37,8.7
"433","Varicella zoster (unspecified)",2019-01-31,"ACT",9,2.1
"434","Dengue virus infection",2019-01-31,"ACT",3,0.7
"435","Ross River virus infection",2019-01-31,"ACT",1,0.2
"436","Q fever",2019-01-31,"ACT",1,0.2
"437","Hepatitis B (unspecified)",2018-12-31,"ACT",5,1.2
