"","Disease","Date","State","Cases","Rates"
"109","Mumps",2020-09-30,"ACT",0,0
"110","Pertussis",2020-09-30,"ACT",0,0
"111","Pneumococcal disease (invasive)",2020-09-30,"ACT",1,0.2
"112","Poliovirus infection",2020-09-30,"ACT",0,0
"113","Rotavirus",2020-09-30,"ACT",1,0.2
"114","Rubella",2020-09-30,"ACT",0,0
"115","Rubella congenital",2020-09-30,"ACT",0,0
"116","Tetanus",2020-09-30,"ACT",0,0
"117","Varicella zoster (chickenpox)",2020-09-30,"ACT",16,3.8
"118","Varicella zoster (shingles)",2020-09-30,"ACT",45,10.6
"119","Varicella zoster (unspecified)",2020-09-30,"ACT",10,2.3
"120","Barmah Forest virus infection",2020-09-30,"ACT",0,0
"121","Chikungunya virus infection",2020-09-30,"ACT",0,0
"122","Dengue virus infection",2020-09-30,"ACT",0,0
"123","Flavivirus infection (unspecified)",2020-09-30,"ACT",0,0
"124","Japanese encephalitis virus infection",2020-09-30,"ACT",0,0
"125","Malaria",2020-09-30,"ACT",1,0.2
"126","Murray Valley encephalitis virus infection",2020-09-30,"ACT",0,0
"127","Ross River virus infection",2020-09-30,"ACT",0,0
"128","West Nile/Kunjin virus infection",2020-09-30,"ACT",0,0
"129","Anthrax",2020-09-30,"ACT",0,0
"130","Australian bat lyssavirus infection",2020-09-30,"ACT",0,0
"131","Brucellosis",2020-09-30,"ACT",0,0
"132","Leptospirosis",2020-09-30,"ACT",0,0
"133","Lyssavirus infection (NEC)",2020-09-30,"ACT",0,0
"134","Ornithosis",2020-09-30,"ACT",0,0
"135","Q fever",2020-09-30,"ACT",0,0
"136","Tularaemia",2020-09-30,"ACT",0,0
"137","Hepatitis (NEC)",2020-08-31,"ACT",0,0
"138","Hepatitis B (newly acquired)",2020-08-31,"ACT",0,0
"139","Hepatitis B (unspecified)",2020-08-31,"ACT",7,1.6
"140","Hepatitis C (newly acquired)",2020-08-31,"ACT",1,0.2
"141","Hepatitis C (unspecified)",2020-08-31,"ACT",5,1.2
"142","Hepatitis D",2020-08-31,"ACT",0,0
"143","Botulism",2020-08-31,"ACT",0,0
"144","Campylobacteriosis",2020-08-31,"ACT",54,12.7
"145","Cryptosporidiosis",2020-08-31,"ACT",0,0
"146","Haemolytic uraemic syndrome (HUS)",2020-08-31,"ACT",0,0
"147","Hepatitis A",2020-08-31,"ACT",0,0
"148","Hepatitis E",2020-08-31,"ACT",0,0
"149","Listeriosis",2020-08-31,"ACT",0,0
"150","Paratyphoid",2020-08-31,"ACT",0,0
"151","STEC",2020-08-31,"ACT",0,0
"152","Salmonellosis",2020-08-31,"ACT",9,2.1
"153","Shigellosis",2020-08-31,"ACT",1,0.2
"154","Typhoid Fever",2020-08-31,"ACT",0,0
"155","Legionellosis",2020-08-31,"ACT",0,0
"156","Leprosy",2020-08-31,"ACT",0,0
"157","Meningococcal disease (invasive)",2020-08-31,"ACT",0,0
"158","Tuberculosis",2020-08-31,"ACT",1,0.2
"159","COVID-19",2020-08-31,"ACT",0,0
"160","Cholera",2020-08-31,"ACT",0,0
"161","Middle East respiratory syndrome coronavirus",2020-08-31,"ACT",0,0
"162","Plague",2020-08-31,"ACT",0,0
"163","Rabies",2020-08-31,"ACT",0,0
"164","Smallpox",2020-08-31,"ACT",0,0
"165","Viral haemorrhagic fever (NEC)",2020-08-31,"ACT",0,0
"166","Yellow fever",2020-08-31,"ACT",0,0
"167","Chlamydial infection",2020-08-31,"ACT",124,29.1
"168","Donovanosis",2020-08-31,"ACT",0,0
"169","Gonococcal infection",2020-08-31,"ACT",20,4.7
"170","Syphilis < 2 years",2020-08-31,"ACT",3,0.7
"171","Syphilis > 2 years or unspecified duration",2020-08-31,"ACT",0,0
"172","Syphilis congenital",2020-08-31,"ACT",0,0
"173","Diphtheria",2020-08-31,"ACT",0,0
"174","Haemophilus influenzae type b",2020-08-31,"ACT",0,0
"175","Influenza (laboratory confirmed)",2020-08-31,"ACT",3,0.7
"176","Measles",2020-08-31,"ACT",0,0
"177","Mumps",2020-08-31,"ACT",0,0
"178","Pertussis",2020-08-31,"ACT",4,0.9
"179","Pneumococcal disease (invasive)",2020-08-31,"ACT",1,0.2
"180","Poliovirus infection",2020-08-31,"ACT",0,0
"181","Rotavirus",2020-08-31,"ACT",0,0
"182","Rubella",2020-08-31,"ACT",0,0
"183","Rubella congenital",2020-08-31,"ACT",0,0
"184","Tetanus",2020-08-31,"ACT",0,0
"185","Varicella zoster (chickenpox)",2020-08-31,"ACT",9,2.1
"186","Varicella zoster (shingles)",2020-08-31,"ACT",34,8
"187","Varicella zoster (unspecified)",2020-08-31,"ACT",4,0.9
"188","Barmah Forest virus infection",2020-08-31,"ACT",0,0
"189","Chikungunya virus infection",2020-08-31,"ACT",0,0
"190","Dengue virus infection",2020-08-31,"ACT",0,0
"191","Flavivirus infection (unspecified)",2020-08-31,"ACT",0,0
"192","Japanese encephalitis virus infection",2020-08-31,"ACT",0,0
"193","Malaria",2020-08-31,"ACT",0,0
"194","Murray Valley encephalitis virus infection",2020-08-31,"ACT",0,0
"195","Ross River virus infection",2020-08-31,"ACT",0,0
"196","West Nile/Kunjin virus infection",2020-08-31,"ACT",0,0
"197","Anthrax",2020-08-31,"ACT",0,0
"198","Australian bat lyssavirus infection",2020-08-31,"ACT",0,0
"199","Brucellosis",2020-08-31,"ACT",0,0
"200","Leptospirosis",2020-08-31,"ACT",0,0
"201","Lyssavirus infection (NEC)",2020-08-31,"ACT",0,0
"202","Ornithosis",2020-08-31,"ACT",0,0
"203","Q fever",2020-08-31,"ACT",0,0
"204","Tularaemia",2020-08-31,"ACT",0,0
"205","Hepatitis (NEC)",2020-07-31,"ACT",0,0
"206","Hepatitis B (newly acquired)",2020-07-31,"ACT",0,0
"207","Hepatitis B (unspecified)",2020-07-31,"ACT",5,1.2
"208","Hepatitis C (newly acquired)",2020-07-31,"ACT",0,0
"209","Hepatitis C (unspecified)",2020-07-31,"ACT",10,2.3
"210","Hepatitis D",2020-07-31,"ACT",0,0
"211","Botulism",2020-07-31,"ACT",0,0
"212","Campylobacteriosis",2020-07-31,"ACT",48,11.3
"213","Cryptosporidiosis",2020-07-31,"ACT",1,0.2
"214","Haemolytic uraemic syndrome (HUS)",2020-07-31,"ACT",0,0
"215","Hepatitis A",2020-07-31,"ACT",0,0
"216","Hepatitis E",2020-07-31,"ACT",0,0
"217","Listeriosis",2020-07-31,"ACT",0,0
"218","Paratyphoid",2020-07-31,"ACT",0,0
"219","STEC",2020-07-31,"ACT",0,0
"220","Salmonellosis",2020-07-31,"ACT",3,0.7
"221","Shigellosis",2020-07-31,"ACT",0,0
"222","Typhoid Fever",2020-07-31,"ACT",0,0
"223","Legionellosis",2020-07-31,"ACT",0,0
"224","Leprosy",2020-07-31,"ACT",0,0
"225","Meningococcal disease (invasive)",2020-07-31,"ACT",0,0
"226","Tuberculosis",2020-07-31,"ACT",4,0.9
"227","COVID-19",2020-07-31,"ACT",5,1.2
"228","Cholera",2020-07-31,"ACT",0,0
"229","Middle East respiratory syndrome coronavirus",2020-07-31,"ACT",0,0
"230","Plague",2020-07-31,"ACT",0,0
"231","Rabies",2020-07-31,"ACT",0,0
"232","Smallpox",2020-07-31,"ACT",0,0
"233","Viral haemorrhagic fever (NEC)",2020-07-31,"ACT",0,0
"234","Yellow fever",2020-07-31,"ACT",0,0
"235","Chlamydial infection",2020-07-31,"ACT",135,31.7
"236","Donovanosis",2020-07-31,"ACT",0,0
"237","Gonococcal infection",2020-07-31,"ACT",22,5.2
"238","Syphilis < 2 years",2020-07-31,"ACT",5,1.2
"239","Syphilis > 2 years or unspecified duration",2020-07-31,"ACT",0,0
"240","Syphilis congenital",2020-07-31,"ACT",0,0
"241","Diphtheria",2020-07-31,"ACT",0,0
"242","Haemophilus influenzae type b",2020-07-31,"ACT",0,0
"243","Influenza (laboratory confirmed)",2020-07-31,"ACT",1,0.2
"244","Measles",2020-07-31,"ACT",0,0
"245","Mumps",2020-07-31,"ACT",0,0
"246","Pertussis",2020-07-31,"ACT",0,0
"247","Pneumococcal disease (invasive)",2020-07-31,"ACT",1,0.2
"248","Poliovirus infection",2020-07-31,"ACT",0,0
"249","Rotavirus",2020-07-31,"ACT",5,1.2
"250","Rubella",2020-07-31,"ACT",0,0
"251","Rubella congenital",2020-07-31,"ACT",0,0
"252","Tetanus",2020-07-31,"ACT",0,0
"253","Varicella zoster (chickenpox)",2020-07-31,"ACT",4,0.9
"254","Varicella zoster (shingles)",2020-07-31,"ACT",31,7.3
"255","Varicella zoster (unspecified)",2020-07-31,"ACT",8,1.9
"256","Barmah Forest virus infection",2020-07-31,"ACT",0,0
"257","Chikungunya virus infection",2020-07-31,"ACT",0,0
"258","Dengue virus infection",2020-07-31,"ACT",0,0
"259","Flavivirus infection (unspecified)",2020-07-31,"ACT",0,0
"260","Japanese encephalitis virus infection",2020-07-31,"ACT",0,0
"261","Malaria",2020-07-31,"ACT",0,0
"262","Murray Valley encephalitis virus infection",2020-07-31,"ACT",0,0
"263","Ross River virus infection",2020-07-31,"ACT",1,0.2
"264","West Nile/Kunjin virus infection",2020-07-31,"ACT",0,0
"265","Anthrax",2020-07-31,"ACT",0,0
"266","Australian bat lyssavirus infection",2020-07-31,"ACT",0,0
"267","Brucellosis",2020-07-31,"ACT",0,0
"268","Leptospirosis",2020-07-31,"ACT",0,0
"269","Lyssavirus infection (NEC)",2020-07-31,"ACT",0,0
"270","Ornithosis",2020-07-31,"ACT",0,0
"271","Q fever",2020-07-31,"ACT",0,0
"272","Tularaemia",2020-07-31,"ACT",0,0
"273","Hepatitis (NEC)",2020-06-30,"ACT",0,0
"274","Hepatitis B (newly acquired)",2020-06-30,"ACT",0,0
"275","Hepatitis B (unspecified)",2020-06-30,"ACT",9,2.1
"276","Hepatitis C (newly acquired)",2020-06-30,"ACT",1,0.2
"277","Hepatitis C (unspecified)",2020-06-30,"ACT",14,3.3
"278","Hepatitis D",2020-06-30,"ACT",0,0
"279","Botulism",2020-06-30,"ACT",0,0
"280","Campylobacteriosis",2020-06-30,"ACT",34,8
"281","Cryptosporidiosis",2020-06-30,"ACT",0,0
"282","Haemolytic uraemic syndrome (HUS)",2020-06-30,"ACT",0,0
"283","Hepatitis A",2020-06-30,"ACT",0,0
"284","Hepatitis E",2020-06-30,"ACT",0,0
"285","Listeriosis",2020-06-30,"ACT",0,0
"286","Paratyphoid",2020-06-30,"ACT",0,0
"287","STEC",2020-06-30,"ACT",0,0
"288","Salmonellosis",2020-06-30,"ACT",5,1.2
"289","Shigellosis",2020-06-30,"ACT",0,0
"290","Typhoid Fever",2020-06-30,"ACT",0,0
"291","Legionellosis",2020-06-30,"ACT",1,0.2
"292","Leprosy",2020-06-30,"ACT",0,0
"293","Meningococcal disease (invasive)",2020-06-30,"ACT",0,0
"294","Tuberculosis",2020-06-30,"ACT",3,0.7
"295","COVID-19",2020-06-30,"ACT",0,0
"296","Cholera",2020-06-30,"ACT",0,0
"297","Middle East respiratory syndrome coronavirus",2020-06-30,"ACT",0,0
"298","Plague",2020-06-30,"ACT",0,0
"299","Rabies",2020-06-30,"ACT",0,0
"300","Smallpox",2020-06-30,"ACT",0,0
"301","Viral haemorrhagic fever (NEC)",2020-06-30,"ACT",0,0
"302","Yellow fever",2020-06-30,"ACT",0,0
"303","Chlamydial infection",2020-06-30,"ACT",115,27
"304","Donovanosis",2020-06-30,"ACT",0,0
"305","Gonococcal infection",2020-06-30,"ACT",15,3.5
"306","Syphilis < 2 years",2020-06-30,"ACT",0,0
"307","Syphilis > 2 years or unspecified duration",2020-06-30,"ACT",1,0.2
"308","Syphilis congenital",2020-06-30,"ACT",0,0
"309","Diphtheria",2020-06-30,"ACT",0,0
"310","Haemophilus influenzae type b",2020-06-30,"ACT",0,0
"311","Influenza (laboratory confirmed)",2020-06-30,"ACT",3,0.7
"312","Measles",2020-06-30,"ACT",0,0
"313","Mumps",2020-06-30,"ACT",0,0
"314","Pertussis",2020-06-30,"ACT",0,0
"315","Pneumococcal disease (invasive)",2020-06-30,"ACT",1,0.2
"316","Poliovirus infection",2020-06-30,"ACT",0,0
"317","Rotavirus",2020-06-30,"ACT",3,0.7
"318","Rubella",2020-06-30,"ACT",0,0
"319","Rubella congenital",2020-06-30,"ACT",0,0
"320","Tetanus",2020-06-30,"ACT",0,0
"321","Varicella zoster (chickenpox)",2020-06-30,"ACT",8,1.9
"322","Varicella zoster (shingles)",2020-06-30,"ACT",38,8.9
"323","Varicella zoster (unspecified)",2020-06-30,"ACT",14,3.3
"324","Barmah Forest virus infection",2020-06-30,"ACT",0,0
"325","Chikungunya virus infection",2020-06-30,"ACT",0,0
"326","Dengue virus infection",2020-06-30,"ACT",0,0
"327","Flavivirus infection (unspecified)",2020-06-30,"ACT",0,0
"328","Japanese encephalitis virus infection",2020-06-30,"ACT",0,0
"329","Malaria",2020-06-30,"ACT",0,0
"330","Murray Valley encephalitis virus infection",2020-06-30,"ACT",0,0
"331","Ross River virus infection",2020-06-30,"ACT",0,0
"332","West Nile/Kunjin virus infection",2020-06-30,"ACT",0,0
"333","Anthrax",2020-06-30,"ACT",0,0
"334","Australian bat lyssavirus infection",2020-06-30,"ACT",0,0
"335","Brucellosis",2020-06-30,"ACT",0,0
"336","Leptospirosis",2020-06-30,"ACT",0,0
"337","Lyssavirus infection (NEC)",2020-06-30,"ACT",0,0
"338","Ornithosis",2020-06-30,"ACT",0,0
"339","Q fever",2020-06-30,"ACT",0,0
"340","Tularaemia",2020-06-30,"ACT",0,0
"341","Hepatitis (NEC)",2020-05-31,"ACT",0,0
"342","Hepatitis B (newly acquired)",2020-05-31,"ACT",0,0
"343","Hepatitis B (unspecified)",2020-05-31,"ACT",4,0.9
"344","Hepatitis C (newly acquired)",2020-05-31,"ACT",2,0.5
"345","Hepatitis C (unspecified)",2020-05-31,"ACT",8,1.9
"346","Hepatitis D",2020-05-31,"ACT",0,0
"347","Botulism",2020-05-31,"ACT",0,0
"348","Campylobacteriosis",2020-05-31,"ACT",41,9.6
"349","Cryptosporidiosis",2020-05-31,"ACT",0,0
"350","Haemolytic uraemic syndrome (HUS)",2020-05-31,"ACT",0,0
"351","Hepatitis A",2020-05-31,"ACT",0,0
"352","Hepatitis E",2020-05-31,"ACT",0,0
"353","Listeriosis",2020-05-31,"ACT",0,0
"354","Paratyphoid",2020-05-31,"ACT",0,0
"355","STEC",2020-05-31,"ACT",0,0
"356","Salmonellosis",2020-05-31,"ACT",10,2.3
"357","Shigellosis",2020-05-31,"ACT",1,0.2
"358","Typhoid Fever",2020-05-31,"ACT",0,0
"359","Legionellosis",2020-05-31,"ACT",0,0
"360","Leprosy",2020-05-31,"ACT",0,0
"361","Meningococcal disease (invasive)",2020-05-31,"ACT",0,0
"362","Tuberculosis",2020-05-31,"ACT",1,0.2
"363","COVID-19",2020-05-31,"ACT",1,0.2
"364","Cholera",2020-05-31,"ACT",0,0
"365","Middle East respiratory syndrome coronavirus",2020-05-31,"ACT",0,0
"366","Plague",2020-05-31,"ACT",0,0
"367","Rabies",2020-05-31,"ACT",0,0
"368","Smallpox",2020-05-31,"ACT",0,0
"369","Viral haemorrhagic fever (NEC)",2020-05-31,"ACT",0,0
"370","Yellow fever",2020-05-31,"ACT",0,0
"371","Chlamydial infection",2020-05-31,"ACT",105,24.6
"372","Donovanosis",2020-05-31,"ACT",0,0
"373","Gonococcal infection",2020-05-31,"ACT",20,4.7
"374","Syphilis < 2 years",2020-05-31,"ACT",6,1.4
"375","Syphilis > 2 years or unspecified duration",2020-05-31,"ACT",1,0.2
"376","Syphilis congenital",2020-05-31,"ACT",0,0
"377","Diphtheria",2020-05-31,"ACT",0,0
"378","Haemophilus influenzae type b",2020-05-31,"ACT",0,0
"379","Influenza (laboratory confirmed)",2020-05-31,"ACT",1,0.2
"380","Measles",2020-05-31,"ACT",0,0
"381","Mumps",2020-05-31,"ACT",0,0
"382","Pertussis",2020-05-31,"ACT",3,0.7
"383","Pneumococcal disease (invasive)",2020-05-31,"ACT",0,0
"384","Poliovirus infection",2020-05-31,"ACT",0,0
"385","Rotavirus",2020-05-31,"ACT",11,2.6
"386","Rubella",2020-05-31,"ACT",0,0
"387","Rubella congenital",2020-05-31,"ACT",0,0
"388","Tetanus",2020-05-31,"ACT",0,0
"389","Varicella zoster (chickenpox)",2020-05-31,"ACT",2,0.5
"390","Varicella zoster (shingles)",2020-05-31,"ACT",34,8
"391","Varicella zoster (unspecified)",2020-05-31,"ACT",6,1.4
"392","Barmah Forest virus infection",2020-05-31,"ACT",0,0
"393","Chikungunya virus infection",2020-05-31,"ACT",0,0
"394","Dengue virus infection",2020-05-31,"ACT",0,0
"395","Flavivirus infection (unspecified)",2020-05-31,"ACT",0,0
"396","Japanese encephalitis virus infection",2020-05-31,"ACT",0,0
"397","Malaria",2020-05-31,"ACT",0,0
"398","Murray Valley encephalitis virus infection",2020-05-31,"ACT",0,0
"399","Ross River virus infection",2020-05-31,"ACT",0,0
"400","West Nile/Kunjin virus infection",2020-05-31,"ACT",0,0
"401","Anthrax",2020-05-31,"ACT",0,0
"402","Australian bat lyssavirus infection",2020-05-31,"ACT",0,0
"403","Brucellosis",2020-05-31,"ACT",0,0
"404","Leptospirosis",2020-05-31,"ACT",0,0
"405","Lyssavirus infection (NEC)",2020-05-31,"ACT",0,0
"406","Ornithosis",2020-05-31,"ACT",0,0
"407","Q fever",2020-05-31,"ACT",0,0
"408","Tularaemia",2020-05-31,"ACT",0,0
"409","Hepatitis (NEC)",2020-04-30,"ACT",0,0
"410","Hepatitis B (newly acquired)",2020-04-30,"ACT",0,0
"411","Hepatitis B (unspecified)",2020-04-30,"ACT",8,1.9
"412","Hepatitis C (newly acquired)",2020-04-30,"ACT",0,0
"413","Hepatitis C (unspecified)",2020-04-30,"ACT",10,2.3
"414","Hepatitis D",2020-04-30,"ACT",0,0
"415","Botulism",2020-04-30,"ACT",0,0
"416","Campylobacteriosis",2020-04-30,"ACT",35,8.2
"417","Cryptosporidiosis",2020-04-30,"ACT",0,0
"418","Haemolytic uraemic syndrome (HUS)",2020-04-30,"ACT",0,0
"419","Hepatitis A",2020-04-30,"ACT",0,0
"420","Hepatitis E",2020-04-30,"ACT",0,0
"421","Listeriosis",2020-04-30,"ACT",0,0
"422","Paratyphoid",2020-04-30,"ACT",0,0
"423","STEC",2020-04-30,"ACT",0,0
"424","Salmonellosis",2020-04-30,"ACT",7,1.6
"425","Shigellosis",2020-04-30,"ACT",0,0
"426","Typhoid Fever",2020-04-30,"ACT",0,0
"427","Legionellosis",2020-04-30,"ACT",0,0
"428","Leprosy",2020-04-30,"ACT",0,0
"429","Meningococcal disease (invasive)",2020-04-30,"ACT",1,0.2
"430","Tuberculosis",2020-04-30,"ACT",4,0.9
"431","COVID-19",2020-04-30,"ACT",8,1.9
"432","Cholera",2020-04-30,"ACT",0,0
"433","Middle East respiratory syndrome coronavirus",2020-04-30,"ACT",0,0
"434","Plague",2020-04-30,"ACT",0,0
"435","Rabies",2020-04-30,"ACT",0,0
"436","Smallpox",2020-04-30,"ACT",0,0
"437","Viral haemorrhagic fever (NEC)",2020-04-30,"ACT",0,0
"438","Yellow fever",2020-04-30,"ACT",0,0
"439","Chlamydial infection",2020-04-30,"ACT",87,20.4
"440","Donovanosis",2020-04-30,"ACT",0,0
"441","Gonococcal infection",2020-04-30,"ACT",10,2.3
"442","Syphilis < 2 years",2020-04-30,"ACT",6,1.4
"443","Syphilis > 2 years or unspecified duration",2020-04-30,"ACT",1,0.2
"444","Syphilis congenital",2020-04-30,"ACT",0,0
"445","Diphtheria",2020-04-30,"ACT",0,0
"446","Haemophilus influenzae type b",2020-04-30,"ACT",0,0
"447","Influenza (laboratory confirmed)",2020-04-30,"ACT",4,0.9
"448","Measles",2020-04-30,"ACT",0,0
"449","Mumps",2020-04-30,"ACT",0,0
"450","Pertussis",2020-04-30,"ACT",7,1.6
"451","Pneumococcal disease (invasive)",2020-04-30,"ACT",2,0.5
"452","Poliovirus infection",2020-04-30,"ACT",0,0
"453","Rotavirus",2020-04-30,"ACT",5,1.2
"454","Rubella",2020-04-30,"ACT",0,0
"455","Rubella congenital",2020-04-30,"ACT",0,0
"456","Tetanus",2020-04-30,"ACT",0,0
"457","Varicella zoster (chickenpox)",2020-04-30,"ACT",1,0.2
"458","Varicella zoster (shingles)",2020-04-30,"ACT",34,8
"459","Varicella zoster (unspecified)",2020-04-30,"ACT",13,3.1
"460","Barmah Forest virus infection",2020-04-30,"ACT",0,0
"461","Chikungunya virus infection",2020-04-30,"ACT",0,0
"462","Dengue virus infection",2020-04-30,"ACT",0,0
"463","Flavivirus infection (unspecified)",2020-04-30,"ACT",0,0
"464","Japanese encephalitis virus infection",2020-04-30,"ACT",0,0
"465","Malaria",2020-04-30,"ACT",0,0
"466","Murray Valley encephalitis virus infection",2020-04-30,"ACT",0,0
"467","Ross River virus infection",2020-04-30,"ACT",1,0.2
"468","West Nile/Kunjin virus infection",2020-04-30,"ACT",0,0
"469","Anthrax",2020-04-30,"ACT",0,0
"470","Australian bat lyssavirus infection",2020-04-30,"ACT",0,0
"471","Brucellosis",2020-04-30,"ACT",0,0
"472","Leptospirosis",2020-04-30,"ACT",0,0
"473","Lyssavirus infection (NEC)",2020-04-30,"ACT",0,0
"474","Ornithosis",2020-04-30,"ACT",0,0
"475","Q fever",2020-04-30,"ACT",0,0
"476","Tularaemia",2020-04-30,"ACT",0,0
