,Month,ACT_n,NSW_n,NT_n,Qld_n,SA_n,Tas_n,Vic_n,WA_n,Aust_n,ACT_rate,NSW_rate,NT_rate,Qld_rate,SA_rate,Tas_rate,Vic_rate,WA_rate,Aust_rate,,,,,,,,,,
Smallpox,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,Oct-20,113,2310,235,1919,447,120,136,901,6181,26.5,28.6,95.5,37.7,25.5,22.4,2.1,34.4,24.4,,,,,,,,,,
Donovanosis,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,Oct-20,15,822,117,487,135,7,170,271,2024,3.5,10.2,47.5,9.6,7.7,1.3,2.6,10.3,8,,,,,,,,,,
Syphilis < 2 years,Oct-20,2,106,20,69,7,1,105,68,378,0.5,1.3,8.1,1.4,0.4,0.2,1.6,2.6,1.5,,,,,,,,,,
Syphilis > 2 years or unspecified duration,Oct-20,1,29,7,22,6,1,63,15,144,0.2,0.4,2.8,0.4,0.3,0.2,1,0.6,0.6,,,,,,,,,,
Syphilis congenital,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Diphtheria,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,Oct-20,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),Oct-20,1,7,3,10,1,1,7,3,33,0.2,0.1,1.2,0.2,0.1,0.2,0.1,0.1,0.1,,,,,,,,,,
Measles,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Mumps,Oct-20,0,0,0,1,1,0,2,1,5,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Pertussis,Oct-20,0,5,0,1,3,0,12,2,23,0,0.1,0,0,0.2,0,0.2,0.1,0.1,,,,,,,,,,
Pneumococcal disease (invasive),Oct-20,0,26,3,16,11,1,4,18,79,0,0.3,1.2,0.3,0.6,0.2,0.1,0.7,0.3,,,,,,,,,,
Poliovirus infection,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,Oct-20,2,16,3,17,20,5,20,13,96,0.5,0.2,1.2,0.3,1.1,0.9,0.3,0.5,0.4,,,,,,,,,,
Rubella,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rubella congenital,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,Oct-20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),Oct-20,17,0,4,1,52,3,22,101,200,4,0,1.6,0,3,0.6,0.3,3.9,0.8,,,,,,,,,,
Varicella zoster (shingles),Oct-20,54,0,30,1,211,63,146,200,705,12.7,0,12.2,0,12,11.8,2.2,7.6,2.8,,,,,,,,,,
Varicella zoster (unspecified),Oct-20,7,0,4,935,102,5,516,191,1760,1.6,0,1.6,18.4,5.8,0.9,7.8,7.3,6.9,,,,,,,,,,
Barmah Forest virus infection,Oct-20,0,9,1,30,0,0,0,1,41,0,0.1,0.4,0.6,0,0,0,0,0.2,,,,,,,,,,
Chikungunya virus infection,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Dengue virus infection,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Flavivirus infection (unspecified),Oct-20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Malaria,Oct-20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Murray Valley encephalitis virus infection,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,Oct-20,0,29,3,64,5,0,6,51,158,0,0.4,1.2,1.3,0.3,0,0.1,1.9,0.6,,,,,,,,,,
West Nile/Kunjin virus infection,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,Oct-20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leptospirosis,Oct-20,0,2,0,5,0,0,0,1,8,0,0,0,0.1,0,0,0,0,0,,,,,,,,,,
Lyssavirus infection (NEC),Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,Oct-20,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Q fever,Oct-20,0,11,0,16,2,0,2,1,32,0,0.1,0,0.3,0.1,0,0,0,0.1,,,,,,,,,,
Tularaemia,Oct-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis (NEC),Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (newly acquired),Sep-20,0,1,0,2,0,0,1,4,8,0,0,0,0,0,0,0,0.2,0,,,,,,,,,,
Hepatitis B (unspecified),Sep-20,7,150,4,81,15,7,83,37,384,1.6,1.9,1.6,1.6,0.9,1.3,1.3,1.4,1.5,,,,,,,,,,
Hepatitis C (newly acquired),Sep-20,5,2,0,44,1,1,2,1,56,1.2,0,0,0.9,0.1,0.2,0,0,0.2,,,,,,,,,,
Hepatitis C (unspecified),Sep-20,11,238,6,157,27,12,118,66,635,2.6,2.9,2.4,3.1,1.5,2.2,1.8,2.5,2.5,,,,,,,,,,
Hepatitis D,Sep-20,0,1,0,4,0,0,1,1,7,0,0,0,0.1,0,0,0,0,0,,,,,,,,,,
Botulism,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Campylobacteriosis,Sep-20,58,673,29,594,241,100,558,268,2521,13.6,8.3,11.8,11.7,13.8,18.7,8.5,10.2,14.6,,,,,,,,,,
Cryptosporidiosis,Sep-20,0,15,0,18,12,7,41,6,99,0,0.2,0,0.4,0.7,1.3,0.6,0.2,0.4,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),Sep-20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis A,Sep-20,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis E,Sep-20,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Listeriosis,Sep-20,0,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0.1,0,,,,,,,,,,
Paratyphoid,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
STEC,Sep-20,0,3,0,1,16,1,4,5,30,0,0,0,0,0.9,0.2,0.1,0.2,0.1,,,,,,,,,,
Salmonellosis,Sep-20,6,126,24,149,35,6,90,119,555,1.4,1.6,9.8,2.9,2,1.1,1.4,4.5,2.2,,,,,,,,,,
Shigellosis,Sep-20,1,30,7,7,4,0,2,9,60,0.2,0.4,2.8,0.1,0.2,0,0,0.3,0.2,,,,,,,,,,
Typhoid Fever,Sep-20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Legionellosis,Sep-20,0,18,1,6,3,1,7,10,46,0,0.2,0.4,0.1,0.2,0.2,0.1,0.4,0.2,,,,,,,,,,
Leprosy,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),Sep-20,0,1,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tuberculosis,Sep-20,2,58,3,12,9,3,37,15,139,0.5,0.7,1.2,0.2,0.5,0.6,0.6,0.6,0.5,,,,,,,,,,
COVID-19,Sep-20,0,162,0,25,10,0,900,31,1128,0,2,0,0.5,0.6,0,13.6,1.2,4.4,,,,,,,,,,
Cholera,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Smallpox,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,Sep-20,94,2150,222,1933,435,88,185,860,5967,22.1,26.6,90.2,38,24.8,16.5,2.8,32.8,23.5,,,,,,,,,,
Donovanosis,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,Sep-20,23,856,131,525,159,9,294,271,2268,5.4,10.6,53.2,10.3,9.1,1.7,4.5,10.3,8.9,,,,,,,,,,
Syphilis < 2 years,Sep-20,2,123,22,73,6,0,111,67,404,0.5,1.5,8.9,1.4,0.3,0,1.7,2.6,1.6,,,,,,,,,,
Syphilis > 2 years or unspecified duration,Sep-20,0,47,4,19,1,2,74,27,174,0,0.6,1.6,0.4,0.1,0.4,1.1,1,0.7,,,,,,,,,,
Syphilis congenital,Sep-20,0,0,0,0,1,0,0,0,1,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Diphtheria,Sep-20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,Sep-20,0,0,1,1,0,0,0,1,3,0,0,0.4,0,0,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),Sep-20,1,16,0,31,1,1,5,2,57,0.2,0.2,0,0.6,0.1,0.2,0.1,0.1,0.2,,,,,,,,,,
Measles,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Mumps,Sep-20,0,1,1,3,1,0,1,0,7,0,0,0.4,0.1,0.1,0,0,0,0,,,,,,,,,,
Pertussis,Sep-20,0,10,1,2,4,2,27,1,47,0,0.1,0.4,0,0.2,0.4,0.4,0,0.2,,,,,,,,,,
Pneumococcal disease (invasive),Sep-20,1,23,3,23,8,1,5,14,78,0.2,0.3,1.2,0.5,0.5,0.2,0.1,0.5,0.3,,,,,,,,,,
Poliovirus infection,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,Sep-20,1,17,1,11,23,2,13,13,81,0.2,0.2,0.4,0.2,1.3,0.4,0.2,0.5,0.3,,,,,,,,,,
Rubella,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rubella congenital,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),Sep-20,16,0,7,78,57,6,21,62,247,3.8,0,2.8,1.5,3.3,1.1,0.3,2.4,1,,,,,,,,,,
Varicella zoster (shingles),Sep-20,45,0,32,474,198,40,191,189,1169,10.6,0,13,9.3,11.3,7.5,2.9,7.2,4.6,,,,,,,,,,
Varicella zoster (unspecified),Sep-20,10,0,9,333,110,22,665,207,1356,2.3,0,3.7,6.5,6.3,4.1,10.1,7.9,5.3,,,,,,,,,,
Barmah Forest virus infection,Sep-20,0,19,0,23,2,0,0,2,46,0,0.2,0,0.5,0.1,0,0,0.1,0.2,,,,,,,,,,
Chikungunya virus infection,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Dengue virus infection,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Flavivirus infection (unspecified),Sep-20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Malaria,Sep-20,1,2,1,2,0,0,3,1,10,0.2,0,0.4,0,0,0,0,0,0,,,,,,,,,,
Murray Valley encephalitis virus infection,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,Sep-20,0,36,2,66,3,0,2,29,138,0,0.4,0.8,1.3,0.2,0,0,1.1,0.5,,,,,,,,,,
West Nile/Kunjin virus infection,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,Sep-20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leptospirosis,Sep-20,0,1,0,8,0,0,0,0,9,0,0,0,0.2,0,0,0,0,0,,,,,,,,,,
Lyssavirus infection (NEC),Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,Sep-20,0,1,0,0,0,0,7,0,8,0,0,0,0,0,0,0.1,0,0,,,,,,,,,,
Q fever,Sep-20,0,10,0,11,0,0,5,0,26,0,0.1,0,0.2,0,0,0.1,0,0.1,,,,,,,,,,
Tularaemia,Sep-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis (NEC),Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (newly acquired),Aug-20,0,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (unspecified),Aug-20,7,192,6,73,21,8,78,44,429,1.6,2.4,2.4,1.4,1.2,1.5,1.2,1.7,1.7,,,,,,,,,,
Hepatitis C (newly acquired),Aug-20,1,2,0,36,1,1,0,14,55,0.2,0,0,0.7,0.1,0.2,0,0.5,0.2,,,,,,,,,,
Hepatitis C (unspecified),Aug-20,5,213,8,127,20,14,116,75,578,1.2,2.6,3.3,2.5,1.1,2.6,1.8,2.9,2.3,,,,,,,,,,
Hepatitis D,Aug-20,0,4,0,1,1,0,3,0,9,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Botulism,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Campylobacteriosis,Aug-20,54,669,17,585,218,125,474,241,2383,12.7,8.3,6.9,11.5,12.4,23.4,7.2,9.2,13.8,,,,,,,,,,
Cryptosporidiosis,Aug-20,0,16,1,13,15,0,23,3,71,0,0.2,0.4,0.3,0.9,0,0.3,0.1,0.3,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),Aug-20,0,0,0,0,1,0,0,0,1,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Hepatitis A,Aug-20,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis E,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Listeriosis,Aug-20,0,1,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Paratyphoid,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
STEC,Aug-20,0,2,0,1,18,0,6,11,38,0,0,0,0,1,0,0.1,0.4,0.1,,,,,,,,,,
Salmonellosis,Aug-20,9,93,19,128,33,8,90,88,468,2.1,1.2,7.7,2.5,1.9,1.5,1.4,3.4,1.8,,,,,,,,,,
Shigellosis,Aug-20,1,22,10,11,3,0,6,9,62,0.2,0.3,4.1,0.2,0.2,0,0.1,0.3,0.2,,,,,,,,,,
Typhoid Fever,Aug-20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Legionellosis,Aug-20,0,11,0,5,2,2,0,3,23,0,0.1,0,0.1,0.1,0.4,0,0.1,0.1,,,,,,,,,,
Leprosy,Aug-20,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),Aug-20,0,2,0,1,1,0,3,0,7,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Tuberculosis,Aug-20,1,53,2,14,7,0,45,14,136,0.2,0.7,0.8,0.3,0.4,0,0.7,0.5,0.5,,,,,,,,,,
COVID-19,Aug-20,0,278,0,41,9,1,6952,11,7292,0,3.4,0,0.8,0.5,0.2,105.4,0.4,28.8,,,,,,,,,,
Cholera,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Smallpox,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,Aug-20,124,2075,187,1793,435,109,290,918,5931,29.1,25.7,76,35.2,24.8,20.4,4.4,35,23.4,,,,,,,,,,
Donovanosis,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,Aug-20,20,766,130,457,129,10,402,299,2213,4.7,9.5,52.8,9,7.4,1.9,6.1,11.4,8.7,,,,,,,,,,
Syphilis < 2 years,Aug-20,3,105,22,82,9,2,82,66,371,0.7,1.3,8.9,1.6,0.5,0.4,1.2,2.5,1.5,,,,,,,,,,
Syphilis > 2 years or unspecified duration,Aug-20,0,31,7,20,10,0,76,27,171,0,0.4,2.8,0.4,0.6,0,1.2,1,0.7,,,,,,,,,,
Syphilis congenital,Aug-20,0,0,1,0,0,0,0,1,2,0,0,0.4,0,0,0,0,0,0,,,,,,,,,,
Diphtheria,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,Aug-20,0,1,0,0,1,0,0,0,2,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),Aug-20,3,24,1,51,3,1,35,6,124,0.7,0.3,0.4,1,0.2,0.2,0.5,0.2,0.5,,,,,,,,,,
Measles,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Mumps,Aug-20,0,1,0,2,1,0,0,0,4,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Pertussis,Aug-20,4,11,0,9,5,2,35,2,68,0.9,0.1,0,0.2,0.3,0.4,0.5,0.1,0.3,,,,,,,,,,
Pneumococcal disease (invasive),Aug-20,1,39,5,26,16,2,15,17,121,0.2,0.5,2,0.5,0.9,0.4,0.2,0.6,0.5,,,,,,,,,,
Poliovirus infection,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,Aug-20,0,15,0,19,19,0,10,15,78,0,0.2,0,0.4,1.1,0,0.2,0.6,0.3,,,,,,,,,,
Rubella,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rubella congenital,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),Aug-20,9,0,7,71,40,4,25,70,226,2.1,0,2.8,1.4,2.3,0.7,0.4,2.7,0.9,,,,,,,,,,
Varicella zoster (shingles),Aug-20,34,0,28,538,231,40,146,218,1235,8,0,11.4,10.6,13.2,7.5,2.2,8.3,4.9,,,,,,,,,,
Varicella zoster (unspecified),Aug-20,4,0,6,223,87,21,578,179,1098,0.9,0,2.4,4.4,5,3.9,8.8,6.8,4.3,,,,,,,,,,
Barmah Forest virus infection,Aug-20,0,16,2,30,1,0,0,0,49,0,0.2,0.8,0.6,0.1,0,0,0,0.2,,,,,,,,,,
Chikungunya virus infection,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Dengue virus infection,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Flavivirus infection (unspecified),Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Malaria,Aug-20,0,1,0,0,1,0,1,0,3,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Murray Valley encephalitis virus infection,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,Aug-20,0,35,5,74,3,0,2,14,133,0,0.4,2,1.5,0.2,0,0,0.5,0.5,,,,,,,,,,
West Nile/Kunjin virus infection,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,Aug-20,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leptospirosis,Aug-20,0,1,1,0,0,0,0,0,2,0,0,0.4,0,0,0,0,0,0,,,,,,,,,,
Lyssavirus infection (NEC),Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,Aug-20,0,1,0,2,0,0,2,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Q fever,Aug-20,0,13,0,11,2,0,1,1,28,0,0.2,0,0.2,0.1,0,0,0,0.1,,,,,,,,,,
Tularaemia,Aug-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
