"","Disease","Date","State","Cases","Rates","Cases_7dayavg","Rates_7dayavg"
"174","Varicella zoster (unspecified)",2018-11-30,"Western Australia",144,5.6,67.8571428571429,2.64285714285714
"175","Dengue virus infection",2018-11-30,"Western Australia",12,0.5,66.5714285714286,2.58571428571429
"176","Ross River virus infection",2018-11-30,"Western Australia",29,1.1,60.8571428571429,2.37142857142857
"177","Hepatitis B (unspecified)",2018-11-30,"Australia",511,2,NA,NA
"178","Hepatitis C (newly acquired)",2018-11-30,"Australia",57,0.2,NA,NA
"179","Hepatitis C (unspecified)",2018-11-30,"Australia",762,3.1,NA,NA
"180","Campylobacteriosis",2018-11-30,"Australia",2283,13.4,704.428571428571,3.42857142857143
"181","Cryptosporidiosis",2018-11-30,"Australia",192,0.8,671.428571428571,3.3
"182","STEC",2018-11-30,"Australia",70,0.3,671.714285714286,3.3
"183","Salmonellosis",2018-11-30,"Australia",1056,4.2,582.142857142857,2.92857142857143
"184","Shigellosis",2018-11-30,"Australia",280,1.1,1532.14285714286,6.12857142857143
"185","Legionellosis",2018-11-30,"Australia",59,0.2,1878.85714285714,7.51428571428571
"186","Tuberculosis",2018-11-30,"Australia",135,0.5,1941,7.75714285714286
"187","Chlamydial infection",2018-11-30,"Australia",8933,35.8,1821.28571428571,7.28571428571429
"188","Gonococcal infection",2018-11-30,"Australia",2619,10.5,2574,10.3
"189","Syphilis < 2 years",2018-11-30,"Australia",505,2,2826.85714285714,11.3142857142857
"190","Syphilis > 2 years or unspecified duration",2018-11-30,"Australia",218,0.9,2829,11.3285714285714
"191","Influenza (laboratory confirmed)",2018-11-30,"Australia",5549,22.2,1585.57142857143,6.4
"192","Pertussis",2018-11-30,"Australia",1829,7.3,1270.71428571429,5.14285714285714
"193","Pneumococcal disease (invasive)",2018-11-30,"Australia",150,0.6,1355,5.48571428571428
"194","Rotavirus",2018-11-30,"Australia",229,1.3,1504.42857142857,6.08571428571428
"195","Varicella zoster (chickenpox)",2018-11-30,"Australia",415,1.7,725.857142857143,2.97142857142857
"196","Varicella zoster (shingles)",2018-11-30,"Australia",1095,4.4,470.285714285714,1.95714285714286
"197","Varicella zoster (unspecified)",2018-11-30,"Australia",1264,5.1,473,1.97142857142857
"198","Dengue virus infection",2018-11-30,"Australia",99,0.4,447,1.81428571428571
"199","Malaria",2018-11-30,"Australia",40,0.2,437.857142857143,1.77142857142857
"200","Ross River virus infection",2018-11-30,"Australia",169,0.7,288.428571428571,1.17142857142857
"201","Q fever",2018-11-30,"Australia",47,0.2,199.428571428571,0.814285714285713
"202","Hepatitis B (unspecified)",2018-12-31,"Australian Capital Territory",5,1.2,16.4285714285714,3.9
"203","Hepatitis C (unspecified)",2018-12-31,"Australian Capital Territory",9,2.1,11.5714285714286,2.74285714285714
"204","Hepatitis D",2018-12-31,"Australian Capital Territory",1,0.2,14.8571428571429,3.52857142857143
"205","Campylobacteriosis",2018-12-31,"Australian Capital Territory",49,11.7,14.7142857142857,3.5
"206","Cryptosporidiosis",2018-12-31,"Australian Capital Territory",3,0.7,14.1428571428571,3.35714285714286
"207","Salmonellosis",2018-12-31,"Australian Capital Territory",34,8.1,13.1428571428571,3.12857142857143
"208","Shigellosis",2018-12-31,"Australian Capital Territory",2,0.5,13.2857142857143,3.17142857142857
"209","Typhoid Fever",2018-12-31,"Australian Capital Territory",1,0.2,22,5.24285714285714
"210","Legionellosis",2018-12-31,"Australian Capital Territory",2,0.5,25,5.95714285714286
"211","Tuberculosis",2018-12-31,"Australian Capital Territory",2,0.5,20.7142857142857,4.94285714285714
"212","Chlamydial infection",2018-12-31,"Australian Capital Territory",110,26.2,24.7142857142857,5.88571428571429
"213","Gonococcal infection",2018-12-31,"Australian Capital Territory",24,5.7,24.8571428571429,5.92857142857143
"214","Syphilis < 2 years",2018-12-31,"Australian Capital Territory",4,1,29.1428571428571,6.94285714285714
"215","Influenza (laboratory confirmed)",2018-12-31,"Australian Capital Territory",30,7.1,29,6.9
"216","Measles",2018-12-31,"Australian Capital Territory",2,0.5,13.8571428571429,3.3
"217","Pertussis",2018-12-31,"Australian Capital Territory",32,7.6,16.7142857142857,3.98571428571428
"218","Pneumococcal disease (invasive)",2018-12-31,"Australian Capital Territory",1,0.2,21.8571428571429,5.2
"219","Rotavirus",2018-12-31,"Australian Capital Territory",4,1,19,4.52857142857143
"220","Varicella zoster (chickenpox)",2018-12-31,"Australian Capital Territory",44,10.5,19,4.52857142857143
"221","Varicella zoster (shingles)",2018-12-31,"Australian Capital Territory",40,9.5,14.7142857142857,3.51428571428571
"222","Varicella zoster (unspecified)",2018-12-31,"Australian Capital Territory",10,2.4,15.1428571428571,3.61428571428571
"223","Dengue virus infection",2018-12-31,"Australian Capital Territory",2,0.5,14.7142857142857,3.5
"224","Malaria",2018-12-31,"Australian Capital Territory",2,0.5,9.85714285714286,2.32857142857143
"225","Hepatitis B (unspecified)",2018-12-31,"New South Wales",142,1.8,126.714285714286,1.58571428571429
"226","Hepatitis C (unspecified)",2018-12-31,"New South Wales",248,3.1,131.142857142857,1.62857142857143
"227","Cryptosporidiosis",2018-12-31,"New South Wales",51,0.6,129.857142857143,1.61428571428571
"228","Salmonellosis",2018-12-31,"New South Wales",355,4.4,131.428571428571,1.64285714285714
"229","Shigellosis",2018-12-31,"New South Wales",67,0.8,407,5.1
"230","Legionellosis",2018-12-31,"New South Wales",21,0.3,471.428571428571,5.91428571428571
"231","Tuberculosis",2018-12-31,"New South Wales",36,0.5,483,6.07142857142857
"232","Chlamydial infection",2018-12-31,"New South Wales",2071,26,440.714285714286,5.54285714285714
"233","Gonococcal infection",2018-12-31,"New South Wales",699,8.8,578.714285714286,7.27142857142857
"234","Syphilis < 2 years",2018-12-31,"New South Wales",132,1.7,704.285714285714,8.84285714285714
"235","Syphilis > 2 years or unspecified duration",2018-12-31,"New South Wales",59,0.7,706.285714285714,8.85714285714286
"236","Influenza (laboratory confirmed)",2018-12-31,"New South Wales",1033,12.9,418.571428571429,5.24285714285714
"237","Pertussis",2018-12-31,"New South Wales",900,11.3,321.571428571429,4.02857142857143
"238","Pneumococcal disease (invasive)",2018-12-31,"New South Wales",50,0.6,306.571428571429,3.82857142857143
"239","Rotavirus",2018-12-31,"New South Wales",57,0.7,300.571428571429,3.75714285714286
"240","Dengue virus infection",2018-12-31,"New South Wales",20,0.3,179.714285714286,2.24285714285714
"241","Ross River virus infection",2018-12-31,"New South Wales",27,0.3,90.7142857142857,1.11428571428571
"242","Q fever",2018-12-31,"New South Wales",17,0.2,253.857142857143,3.12857142857143
"243","Hepatitis B (unspecified)",2018-12-31,"Northern Territory",4,1.6,9,3.62857142857143
"244","Hepatitis C (unspecified)",2018-12-31,"Northern Territory",14,5.7,13.4285714285714,5.42857142857143
"245","Campylobacteriosis",2018-12-31,"Northern Territory",30,12.1,16.1428571428571,6.52857142857143
"246","Cryptosporidiosis",2018-12-31,"Northern Territory",9,3.6,16,6.47142857142857
"247","Salmonellosis",2018-12-31,"Northern Territory",33,13.4,15.7142857142857,6.35714285714285
"248","Shigellosis",2018-12-31,"Northern Territory",20,8.1,34.7142857142857,14.0428571428571
"249","Meningococcal disease (invasive)",2018-12-31,"Northern Territory",2,0.8,48.2857142857143,19.5428571428571
"250","Tuberculosis",2018-12-31,"Northern Territory",2,0.8,50.4285714285714,20.4142857142857
"251","Chlamydial infection",2018-12-31,"Northern Territory",147,59.5,46.4285714285714,18.7857142857143
"252","Gonococcal infection",2018-12-31,"Northern Territory",125,50.6,43.7142857142857,17.6857142857143
"253","Syphilis < 2 years",2018-12-31,"Northern Territory",24,9.7,139.857142857143,56.6
"254","Syphilis > 2 years or unspecified duration",2018-12-31,"Northern Territory",5,2,140,56.6571428571429
"255","Haemophilus influenzae type b",2018-12-31,"Northern Territory",1,0.4,119.571428571429,48.3857142857143
"256","Influenza (laboratory confirmed)",2018-12-31,"Northern Territory",675,273.2,102.571428571429,41.5
"257","Pertussis",2018-12-31,"Northern Territory",3,1.2,99.2857142857143,40.1714285714286
"258","Pneumococcal disease (invasive)",2018-12-31,"Northern Territory",4,1.6,102.428571428571,41.4428571428571
"259","Rotavirus",2018-12-31,"Northern Territory",6,2.4,102.428571428571,41.4428571428571
"260","Varicella zoster (chickenpox)",2018-12-31,"Northern Territory",1,0.4,6.71428571428571,2.69999999999999
"261","Varicella zoster (shingles)",2018-12-31,"Northern Territory",27,10.9,6.42857142857143,2.58571428571428
"262","Varicella zoster (unspecified)",2018-12-31,"Northern Territory",1,0.4,6.42857142857143,2.58571428571428
"263","Dengue virus infection",2018-12-31,"Northern Territory",5,2,6.28571428571429,2.52857142857142
"264","Malaria",2018-12-31,"Northern Territory",1,0.4,7,2.81428571428571
"265","Ross River virus infection",2018-12-31,"Northern Territory",4,1.6,8.28571428571429,3.34285714285714
"266","Hepatitis B (unspecified)",2018-12-31,"Queensland",48,1,145.714285714286,2.91428571428571
"267","Hepatitis C (newly acquired)",2018-12-31,"Queensland",23,0.5,152.285714285714,3.04285714285714
"268","Hepatitis C (unspecified)",2018-12-31,"Queensland",131,2.6,183,3.65714285714286
"269","Campylobacteriosis",2018-12-31,"Queensland",691,13.8,186,3.71428571428571
"270","Cryptosporidiosis",2018-12-31,"Queensland",65,1.3,182.428571428571,3.64285714285714
"271","Salmonellosis",2018-12-31,"Queensland",307,6.1,408.428571428571,8.14285714285714
"272","Shigellosis",2018-12-31,"Queensland",37,0.7,449.571428571429,8.97142857142857
"273","Tuberculosis",2018-12-31,"Queensland",23,0.5,360.857142857143,7.2
"274","Chlamydial infection",2018-12-31,"Queensland",1605,32,354.142857142857,7.07142857142857
"275","Gonococcal infection",2018-12-31,"Queensland",419,8.4,602.142857142857,12.0285714285714
"276","Syphilis < 2 years",2018-12-31,"Queensland",70,1.4,598.571428571429,11.9571428571429
"277","Syphilis > 2 years or unspecified duration",2018-12-31,"Queensland",18,0.4,626,12.5
"278","Influenza (laboratory confirmed)",2018-12-31,"Queensland",2043,40.8,398.857142857143,7.97142857142857
"279","Mumps",2018-12-31,"Queensland",12,0.2,347.428571428571,6.94285714285714
"280","Pertussis",2018-12-31,"Queensland",215,4.3,351,7.01428571428571
"281","Pneumococcal disease (invasive)",2018-12-31,"Queensland",15,0.3,430.571428571429,8.6
"282","Rotavirus",2018-12-31,"Queensland",59,1.2,145,2.9
"283","Varicella zoster (chickenpox)",2018-12-31,"Queensland",95,1.9,144.714285714286,2.9
"284","Varicella zoster (shingles)",2018-12-31,"Queensland",575,11.5,116.857142857143,2.34285714285714
"285","Varicella zoster (unspecified)",2018-12-31,"Queensland",44,0.9,116.285714285714,2.32857142857143
"286","Barmah Forest virus infection",2018-12-31,"Queensland",10,0.2,118,2.35714285714286
"287","Dengue virus infection",2018-12-31,"Queensland",20,0.4,106.428571428571,2.12857142857143
"288","Malaria",2018-12-31,"Queensland",11,0.2,33.2857142857143,0.657142857142857
"289","Ross River virus infection",2018-12-31,"Queensland",71,1.4,32.2857142857143,0.628571428571428
"290","Q fever",2018-12-31,"Queensland",14,0.3,49.4285714285714,0.971428571428571
"291","Hepatitis B (unspecified)",2018-12-31,"South Australia",24,1.4,55.8571428571429,3.22857142857143
"292","Hepatitis C (newly acquired)",2018-12-31,"South Australia",3,0.2,56.4285714285714,3.25714285714286
"293","Hepatitis C (unspecified)",2018-12-31,"South Australia",29,1.7,58.7142857142857,3.4
"294","Campylobacteriosis",2018-12-31,"South Australia",319,18.4,71.5714285714286,4.14285714285714
"295","Cryptosporidiosis",2018-12-31,"South Australia",9,0.5,72.5714285714286,4.2
"296","STEC",2018-12-31,"South Australia",22,1.3,72.7142857142857,4.2
